sentid	sentpos	word	num_responses	responses_exist
0	1	There	40	True
0	2	are	40	True
0	3	now	40	True
0	4	rumblings	40	True
0	5	that	40	True
0	6	Apple	40	True
0	7	might	39	True
0	8	soon	40	True
0	9	invade	40	True
0	10	the	40	True
0	11	smart	40	True
0	12	watch	40	True
0	13	space,	40	True
0	14	though	40	True
0	15	the	39	True
0	16	company	40	True
0	17	is	40	True
0	18	maintaining	40	True
0	19	its	39	True
0	20	customary	40	True
0	21	silence.	40	True
1	1	The	39	True
1	2	watch	40	True
1	3	doesn't	40	True
1	4	have	40	True
1	5	a	40	True
1	6	microphone	40	True
1	7	or	40	True
1	8	speaker,	40	True
1	9	but	40	True
1	10	you	40	True
1	11	can	40	True
1	12	use	40	True
1	13	it	40	True
1	14	to	40	True
1	15	control	40	True
1	16	the	40	True
1	17	music	40	True
1	18	on	40	True
1	19	your	40	True
1	20	phone.	40	True
2	1	You	40	True
2	2	can	40	True
2	3	glance	40	True
2	4	at	40	True
2	5	the	40	True
2	6	watch	40	True
2	7	face	40	True
2	8	to	40	True
2	9	view	40	True
2	10	the	40	True
2	11	artist	40	True
2	12	and	40	True
2	13	title	40	True
2	14	of	40	True
2	15	a	40	True
2	16	song.	40	True
26	1	A	40	True
26	2	clergyman	40	True
26	3	remarked	41	True
26	4	to	40	True
26	5	him,	41	True
26	6	'The	38	True
26	7	Lord	41	True
26	8	is	41	True
26	9	on	41	True
26	10	our	41	True
26	11	side.'	41	True
27	1	I	37	True
27	2	am	41	True
27	3	not	41	True
27	4	at	41	True
27	5	all	41	True
27	6	concerned	41	True
27	7	about	41	True
27	8	that,	41	True
27	9	replied	41	True
27	10	Mr.	40	True
27	11	Lincoln;	41	True
27	12	'for	41	True
27	13	I	39	True
27	14	know	41	True
27	15	that	40	True
27	16	the	41	True
27	17	Lord	41	True
27	18	is	41	True
27	19	always	41	True
27	20	on	41	True
27	21	the	41	True
27	22	side	41	True
27	23	of	41	True
27	24	the	41	True
27	25	right.	41	True
28	1	But	40	True
28	2	it	41	True
28	3	is	41	True
28	4	my	41	True
28	5	constant	41	True
28	6	anxiety	41	True
28	7	and	41	True
28	8	prayer	41	True
28	9	that	41	True
28	10	I	40	True
28	11	and	41	True
28	12	this	41	True
28	13	nation	41	True
28	14	should	41	True
28	15	be	41	True
28	16	on	39	True
28	17	the	41	True
28	18	Lord's	40	True
28	19	side.'	41	True
29	1	Known	40	True
29	2	as	40	True
29	3	Rapa	39	True
29	4	Nui	40	True
29	5	to	37	True
29	6	the	40	True
29	7	island's	40	True
29	8	inhabitants,	40	True
29	9	Rongorongo	40	True
29	10	is	40	True
29	11	a	40	True
29	12	writing	40	True
29	13	system	40	True
29	14	comprised	40	True
29	15	of	40	True
29	16	pictographs.	40	True
30	1	It	39	True
30	2	has	40	True
30	3	been	40	True
30	4	found	40	True
30	5	carved	40	True
30	6	into	40	True
30	7	many	40	True
