sentid	sentpos	word	num_responses	responses_exist
0	1	Lauren	90	False
0	2	turned	90	False
0	3	on	90	False
0	4	the	90	False
0	5	TV	90	False
0	6	and	90	False
0	7	flopped	90	False
0	8	down	90	False
0	9	on	90	False
0	10	the	90	False
0	11	couch	90	True
0	12	in	90	False
0	13	the	90	False
0	14	den.	90	False
1	1	They	90	False
1	2	were	90	False
1	3	worried	90	False
1	4	that	90	False
1	5	the	90	False
1	6	cat	90	False
1	7	would	90	False
1	8	tear	90	False
1	9	up	90	False
1	10	the	90	False
1	11	couch	90	True
1	12	in	90	False
1	13	the	90	False
1	14	den.	90	False
2	1	Before	90	False
2	2	painting,	90	False
2	3	the	90	False
2	4	contractors	90	False
2	5	laid	90	False
2	6	down	90	False
2	7	a	90	False
2	8	tarp	90	False
2	9	on	90	False
2	10	the	90	False
2	11	couch	90	True
2	12	in	90	False
2	13	the	90	False
2	14	den.	90	False
3	1	To	90	False
3	2	see	90	False
3	3	the	90	False
3	4	exotic	90	False
3	5	animals,	90	False
3	6	we	90	False
3	7	took	90	False
3	8	the	90	False
3	9	children	90	False
3	10	to	90	False
3	11	the	90	False
3	12	zoo	90	True
3	13	in	90	False
3	14	San	90	False
3	15	Diego.	90	False
4	1	To	90	False
4	2	see	90	False
4	3	the	90	False
4	4	pretty	90	False
4	5	horses,	90	False
4	6	we	90	False
4	7	took	90	False
4	8	the	90	False
4	9	children	90	False
4	10	to	90	False
4	11	the	90	False
4	12	zoo	90	True
4	13	in	90	False
4	14	San	90	False
4	15	Diego.	90	False
5	1	Jennifer	90	False
5	2	asked	90	False
5	3	a	90	False
5	4	close	90	False
5	5	friend	90	False
5	6	if	90	False
5	7	they	90	False
5	8	could	90	False
5	9	go	90	False
5	10	to	90	False
5	11	the	90	False
5	12	zoo	90	True
5	13	in	90	False
5	14	San	90	False
5	15	Diego.	90	False
6	1	After	90	False
6	2	cutting	90	False
6	3	down	90	False
6	4	the	90	False
6	5	tree,	90	False
6	6	all	90	False
6	7	that	90	False
6	8	was	90	False
6	9	left	90	False
6	10	was	90	False
6	11	a	90	False
6	12	stump	90	True
6	13	beside	90	False
6	14	the	90	False
6	15	fence.	90	False
7	1	They	90	False
7	2	had	90	False
7	3	to	90	False
7	4	hire	90	False
7	5	the	90	False
7	6	landscapers,	90	False
7	7	to	90	False
7	8	help	90	False
7	9	them	90	False
7	10	remove	90	False
7	11	a	90	False
7	12	stump	90	True
7	13	beside	90	False
7	14	the	90	False
7	15	fence.	90	False
8	1	Behind	90	False
8	2	the	90	False
8	3	storage	90	False
8	4	shed,	90	False
8	5	there	90	False
8	6	were	90	False
8	7	some	90	False
8	8	dead	90	False
8	9	branches	90	False
8	10	and	90	False
8	11	a	90	False
8	12	stump	90	True
8	13	beside	90	False
8	14	the	90	False
8	15	fence.	90	False
9	1	The	90	False
9	2	lake	90	False
9	3	had	90	False
9	4	dried	90	False
9	5	up	90	False
9	6	after	90	False
9	7	last	90	False
9	8	year's	90	False
9	9	drought	90	True
9	10	in	90	False
9	11	California.	90	False
10	1	They	90	False
10	2	mortgaged	90	False
10	3	all	90	False
10	4	their	90	False
10	5	land	90	False
10	6	after	90	False
10	7	last	90	False
10	8	year's	90	False
10	9	drought	90	True
10	10	in	90	False
10	11	California.	90	False
11	1	They	90	False
11	2	started	90	False
11	3	filming	90	False
11	4	a	90	False
11	5	documentary	90	False
11	6	about	90	False
11	7	last	90	False
11	8	year's	90	False
11	9	drought	90	True
11	10	in	90	False
11	11	California.	90	False
12	1	They	90	False
12	2	didn't	90	False
12	3	rent	90	False
12	4	the	90	False
12	5	apartment	90	False
12	6	because	90	False
12	7	the	90	False
12	8	kitchen	90	False
12	9	was	90	False
12	10	too	90	False
12	11	small	90	True
12	12	and	90	False
12	13	unimpressive.	90	False
13	1	They	90	False
13	2	didn't	90	False
13	3	buy	90	False
13	4	the	90	False
13	5	convertible	90	False
13	6	because	90	False
13	7	the	90	False
13	8	engine	90	False
13	9	was	90	False
13	10	too	90	False
13	11	small	90	True
13	12	and	90	False
